id,declarant1.nom,declarant1.nomNaissance,declarant1.prenoms,declarant1.dob,declarant2.nom,declarant2.nomNaissance,declarant2.prenoms,declarant2.dob,adress.ligne1,adress.ligne2,anneeImpots,anneeRevenus,dateRecouvrement,dateEtablissement,nombreParts,situationFamiliale,nombreDePersonneACharge,revenuBrutGlobal,revenuImposable,impotsNetAvantCorrections,impots,revenuFiscalReference,situationPartielle,erreurCorrectif
1706299999019+1706299999019,FOURNIER,FOURNIER,Thierry,19/09/1954,,,,,4 Rue Camille Pissarro,62000 Arras,2017,2016,10/10/2017,08/07/2017,1,Célibataire,1,32 376 €,32 376 €,2 165 €,2 165 €,32 376 €,,
1706299999020+1706299999020,GIRARD,GIRARD,Olivier,13/08/1967,,,,,18 Rue du Général Potez,62170 Montreuil,2017,2016,13/07/2017,13/07/2017,1,Célibataire,1,48 751 €,48 751 €,1 123 €,1 123 €,48 751 €,,
1703199999001+1703199999001,MARTIN,MARTIN,Jean-étienne,13/08/1967,MARTIN,BONNET,Sylvie,01/08/1947,15 Rue d’Auriol,31400 Toulouse,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,26 922 €,26 922 €,2 165 €,2 165 €,26 922 €,"(*) Situation  2016  partielle",
1703199999002+1703199999002,BERNARD,BERNARD,Philippe,22/03/1985,BERNARD,DUPONT,Nathalie,01/12/1973,16 Rue de l'Europe,31140 Aucamville,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,18 410 €,18 410 €,2 165 €,2 165 €,18 410 €,,"Ce document ne correspond pas à la situation la plus récente pour cet usager"
1703199999003+1703199999003,THOMAS,THOMAS,Michel,19/09/1954,,,,,15 Rue d’Auriol,31400 Toulouse,2017,2016,10/10/2017,08/07/2017,1,Célibataire,1,18 409 €,18 409 €,2 165 €,2 165 €,18 409 €,"(*) Situation  2016  partielle","Ce document ne correspond pas à la situation la plus récente pour cet usager"
1703199999004+1703199999004,PETIT,PETIT,Alain,13/08/1967,PETIT,FONTAINE,Rosette,24/11/1967,16 Rue de l'Europe,31140 Aucamville,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,21 000 €,21 000 €,2 165 €,2 165 €,21 000 €,,
1703199999005+1703199999005,ROBERT,ROBERT,Patrick,16/02/1949,,,,,15 Rue d’Auriol,31400 Toulouse,2017,2016,13/07/2017,13/07/2017,1,Célibataire,1,16 550 €,16 550 €,0 €,0 €,16 550 €,,
1703199999006+1703199999006,RICHARD,RICHARD,Nicolas,13/08/1967,RICHARD,VINCENT,Françoise,13/08/1967,16 Rue de l'Europe,31140 Aucamville,2017,2016,10/10/2017,08/07/2017,4,Marié(e)s,4,48 751 €,48 751 €,1 432 €,1 432 €,48 751 €,,
1703199999007+1703199999007,DURAND,DURAND,Christophe,22/03/1985,,,,,15 Rue d’Auriol,31400 Toulouse,2017,2016,10/10/2017,08/07/2017,2,Célibataire,2,43 296 €,43 296 €,1 432 €,1 432 €,43 296 €,,
1703199999008+1703199999008,DUBOIS,DUBOIS,Pierre,19/09/1954,DUBOIS,LEFEVRE,Alain,16/02/1949,16 Rue de l'Europe,31140 Aucamville,2017,2016,10/10/2017,08/07/2017,5,Marié(e)s,5,38 031 €,38 031 €,1 132 €,1 132 €,38 031 €,,
1703199999009+1703199999009,MOREAU,MOREAU,Christian,13/08/1967,,,,,15 Rue d’Auriol,31400 Toulouse,2017,2016,10/10/2017,08/07/2017,1,Célibataire,1,33 775 €,33 775 €,731 €,731 €,33 775 €,,
1703199999010+1703199999010,LAURENT,LAURENT,Éric,16/02/1949,,,,,16 Rue de l'Europe,31140 Aucamville,2017,2016,13/07/2017,13/07/2017,1,Célibataire,1,18 876 €,18 876 €,Non imposable,Non imposable,18 876 €,,
1703199999011+1703199999011,SIMON,SIMON,Frédéric,16/02/1949,SIMON,MERCIER,Amina,19/09/1954,15 Rue d’Auriol,31400 Toulouse,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,25 258 €,25 258 €,0 €,0 €,25 258 €,,
1703199999012+1703199999012,MICHEL,MICHEL,Laurent,13/08/1967,MICHEL,BLANC,Isabelle,13/08/1967,16 Rue de l'Europe,31140 Aucamville,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,20 000 €,20 000 €,0 €,0 €,20 000 €,,
1703199999013+1703199999013,LEFEBVRE,LEFEBVRE,Stéphane,22/03/1985,,,,,15 Rue d’Auriol,31400 Toulouse,2017,2016,10/10/2017,08/07/2017,3,Célibataire,3,4 394 €,4 394 €,0 €,0 €,4 394 €,,
1703199999014+1703199999014,LEROY,LEROY,David,19/09/1954,LEROY,BOYER,Catherine,13/08/1967,16 Rue de l'Europe,31140 Aucamville,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,29 505 €,29 505 €,2 165 €,2 165 €,29 505 €,,
1703199999015+1703199999015,ROUX,ROUX,Pascal,13/08/1967,,,,,15 Rue d’Auriol,31400 Toulouse,2017,2016,13/07/2017,13/07/2017,3,Célibataire,3,25 256 €,25 256 €,2 165 €,2 165 €,25 256 €,,
1703199999016+1703199999016,DAVID,DAVID,Daniel,16/02/1949,DAVID,CHEVALIER,Rose,19/09/1954,16 Rue de l'Europe,31140 Aucamville,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,29 880 €,29 880 €,2 165 €,2 165 €,29 880 €,,
1703199999017+1703199999017,BERTRAND,BERTRAND,Alexandre,13/08/1967,,,,,15 Rue d’Auriol,31400 Toulouse,2017,2016,10/10/2017,08/07/2017,1,Célibataire,1,29 880 €,29 880 €,2 165 €,2 165 €,29 880 €,,
1703199999018+1703199999018,MOREL,MOREL,Julien,22/03/1985,MOREL,LEGRAND,Florence,01/08/1947,16 Rue de l'Europe,31140 Aucamville,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,37 825 €,37 825 €,2 665 €,2 665 €,37 825 €,,
1703199999019+1703199999019,FOURNIER,FOURNIER,Thierry,19/09/1954,,,,,15 Rue d’Auriol,31400 Toulouse,2017,2016,10/10/2017,08/07/2017,1,Célibataire,1,32 376 €,32 376 €,2 165 €,2 165 €,32 376 €,,
1703199999020+1703199999020,GIRARD,GIRARD,Olivier,13/08/1967,,,,,16 Rue de l'Europe,31140 Aucamville,2017,2016,13/07/2017,13/07/2017,1,Célibataire,1,48 751 €,48 751 €,1 123 €,1 123 €,48 751 €,,
1709599999001+1709599999001,MARTIN,MARTIN,Jean-étienne,13/08/1967,MARTIN,BONNET,Sylvie,01/08/1947,1 Rue des Frères Rousse,95780 La Roche-Guyon,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,26 922 €,26 922 €,2 165 €,2 165 €,26 922 €,"(*) Situation  2016  partielle",
1709599999002+1709599999002,BERNARD,BERNARD,Philippe,22/03/1985,BERNARD,DUPONT,Nathalie,01/12/1973,10 Cours du Puits,95690 Labbeville,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,18 410 €,18 410 €,2 165 €,2 165 €,18 410 €,,"Ce document ne correspond pas à la situation la plus récente pour cet usager"
1709599999003+1709599999003,THOMAS,THOMAS,Michel,19/09/1954,,,,,14 Avenue du Dr Charles Fritz,95290 L'Isle-Adam,2017,2016,10/10/2017,08/07/2017,1,Célibataire,1,18 409 €,18 409 €,2 165 €,2 165 €,18 409 €,"(*) Situation  2016  partielle","Ce document ne correspond pas à la situation la plus récente pour cet usager"
1709599999004+1709599999004,PETIT,PETIT,Alain,13/08/1967,PETIT,FONTAINE,Rosette,24/11/1967,27 rue des Ecoles,95610 Eragny,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,21 000 €,21 000 €,2 165 €,2 165 €,21 000 €,,
1709599999005+1709599999005,ROBERT,ROBERT,Patrick,16/02/1949,,,,,1 Rue des Frères Rousse,95780 La Roche-Guyon,2017,2016,13/07/2017,13/07/2017,1,Célibataire,1,16 550 €,16 550 €,0 €,0 €,16 550 €,,
1709599999006+1709599999006,RICHARD,RICHARD,Nicolas,13/08/1967,RICHARD,VINCENT,Françoise,13/08/1967,10 Cours du Puits,95690 Labbeville,2017,2016,10/10/2017,08/07/2017,4,Marié(e)s,4,48 751 €,48 751 €,1 432 €,1 432 €,48 751 €,,
1709599999007+1709599999007,DURAND,DURAND,Christophe,22/03/1985,,,,,14 Avenue du Dr Charles Fritz,95290 L'Isle-Adam,2017,2016,10/10/2017,08/07/2017,2,Célibataire,2,43 296 €,43 296 €,1 432 €,1 432 €,43 296 €,,
1709599999008+1709599999008,DUBOIS,DUBOIS,Pierre,19/09/1954,DUBOIS,LEFEVRE,Alain,16/02/1949,27 rue des Ecoles,95610 Eragny,2017,2016,10/10/2017,08/07/2017,5,Marié(e)s,5,38 031 €,38 031 €,1 132 €,1 132 €,38 031 €,,
1709599999009+1709599999009,MOREAU,MOREAU,Christian,13/08/1967,,,,,1 Rue des Frères Rousse,95780 La Roche-Guyon,2017,2016,10/10/2017,08/07/2017,1,Célibataire,1,33 775 €,33 775 €,731 €,731 €,33 775 €,,
1709599999010+1709599999010,LAURENT,LAURENT,Éric,16/02/1949,,,,,10 Cours du Puits,95690 Labbeville,2017,2016,13/07/2017,13/07/2017,1,Célibataire,1,18 876 €,18 876 €,Non imposable,Non imposable,18 876 €,,
1709599999011+1709599999011,SIMON,SIMON,Frédéric,16/02/1949,SIMON,MERCIER,Amina,19/09/1954,14 Avenue du Dr Charles Fritz,95290 L'Isle-Adam,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,25 258 €,25 258 €,0 €,0 €,25 258 €,,
1709599999012+1709599999012,MICHEL,MICHEL,Laurent,13/08/1967,MICHEL,BLANC,Isabelle,13/08/1967,27 rue des Ecoles,95610 Eragny,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,20 000 €,20 000 €,0 €,0 €,20 000 €,,
1709599999013+1709599999013,LEFEBVRE,LEFEBVRE,Stéphane,22/03/1985,,,,,1 Rue des Frères Rousse,95780 La Roche-Guyon,2017,2016,10/10/2017,08/07/2017,3,Célibataire,3,4 394 €,4 394 €,0 €,0 €,4 394 €,,
1709599999014+1709599999014,LEROY,LEROY,David,19/09/1954,LEROY,BOYER,Catherine,13/08/1967,10 Cours du Puits,95690 Labbeville,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,29 505 €,29 505 €,2 165 €,2 165 €,29 505 €,,
1709599999015+1709599999015,ROUX,ROUX,Pascal,13/08/1967,,,,,14 Avenue du Dr Charles Fritz,95290 L'Isle-Adam,2017,2016,13/07/2017,13/07/2017,3,Célibataire,3,25 256 €,25 256 €,2 165 €,2 165 €,25 256 €,,
1709599999016+1709599999016,DAVID,DAVID,Daniel,16/02/1949,DAVID,CHEVALIER,Rose,19/09/1954,27 rue des Ecoles,95610 Eragny,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,29 880 €,29 880 €,2 165 €,2 165 €,29 880 €,,
1709599999017+1709599999017,BERTRAND,BERTRAND,Alexandre,13/08/1967,,,,,1 Rue des Frères Rousse,95780 La Roche-Guyon,2017,2016,10/10/2017,08/07/2017,1,Célibataire,1,29 880 €,29 880 €,2 165 €,2 165 €,29 880 €,,
1709599999018+1709599999018,MOREL,MOREL,Julien,22/03/1985,MOREL,LEGRAND,Florence,01/08/1947,10 Cours du Puits,95690 Labbeville,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,37 825 €,37 825 €,2 665 €,2 665 €,37 825 €,,
1709599999019+1709599999019,FOURNIER,FOURNIER,Thierry,19/09/1954,,,,,14 Avenue du Dr Charles Fritz,95290 L'Isle-Adam,2017,2016,10/10/2017,08/07/2017,1,Célibataire,1,32 376 €,32 376 €,2 165 €,2 165 €,32 376 €,,
1709599999020+1709599999020,GIRARD,GIRARD,Olivier,13/08/1967,,,,,27 rue des Ecoles,95610 Eragny,2017,2016,13/07/2017,13/07/2017,1,Célibataire,1,48 751 €,48 751 €,1 123 €,1 123 €,48 751 €,,
